0,Алматы → Шымкент, Радиатор, 45000 , крытая(зад)
1,Алматы → Атырау - 3023 км, мэлектротовары, 0, рефр(зад)
2,Алматы → Омск - 1769 км, Перец в россыпью , 700000 , рефр(зад)
3,Шу → Новосибирск - 1866 км, Лук, 0, тент(зад)
4,Алматы → Уфа - 2596 км, Перец в россыпью , 800000 , рефр(зад)
5,Кордай → Уфа - 2648 км, Лук, 0, рефр(зад)
6,Шу → Магнитогорск - 2243 км, Лук, 0, тент(зад)
7,Алматы → Челябинск - 2249 км, Перец а каробках, 700000 , рефр(зад)
8,Алматы → Москва - 3958 км, Перец, 0, рефр(зад)
9,Алматы → Екатеринбург - 2351 км, Перец в россыпью , 800000 , рефр(зад)
10,Алматы → Дубай  - 5332 км, хозтовары, 0, крытая (зад)
11,Алматы → Актау - 2865 км, кондитерка, 730000 , рефр (зад)
12,Алматы → Шымкент - 681 км, Продукты, 120000 , тент (зад)
13,Алматы → Караганда - 999 км, Макароны, 220000 , тент(зад)
14,Алматы → Шымкент - 681 км, стройматериалы, 140000 , крытая (зад)
15,Алматы → Сарыагаш - 799 км, картонные каретки, 0, крытая (зад)
16,Алматы → Астана - 1214 км, Арматура, 280000 , крытая (верх)
17,Алматы → Петропавловск - 1713 км, Металлаконструкция, 120000 , тент(зад)
18,Алматы → Шымкент - 681 км, Профильные трубы, 0, тент(верх)
19,Алматы → НурСултан - 1214 км, Арматура , 280000 , любая (верх)
20,Шу → Челябинск - 2094 км, Лук, 0  , любая (верх)
21,Жаркент → Москва - 4155 км, Мандарины , 0, рефр(зад)
22,Алматы → Петропавловск - 1713 км, масло в бочках, 0, крытая (зад)
23,Талгар → Актау, профиль пвх, 520000 , крытая (зад)
24,Алматы → Шымкент - 681 км, электротовары в коробках, 0, крытая (зад)
25,Алматы → Кокшетау - 1520 км, гофракартон на палетах, 70000 , любая (зад)
26,Алматы → НурСултан - 1214 км, кирпичи  на палетах, 220000 , крытая (бок)
27,Алматы → НурСултан - 1214 км, экскаватор, 500000 , трал
28,Шарбакты → Караганда - 970 км, яйца, 130000 , изот (зад)
29,Алматы → Жетысай - 917 км, Продукты, 0, крытая (зад)
30,Хоргос → Хоргос  - 342 км, ТНП, 0, открытая (зад)
31,Хоргос → Хоргос  - 342 км, ТНП, 0, открытая (зад)
32,Хоргос → Хоргос, Тнп, 8000000, любая
33,Алматы → Караганда - 999 км, трубы, 0, тент (бок)
34,Алматы → Актау - 2865 км, Кондитерские изделия , 0, крытая (зад)
35,Алматы → Актау - 2865 км, стройматериалы, 500000 , тент (зад)
36,Алматы → Астана - 1214 км, Арматура, 290000 , тент (верх)
37,Заречный → НурСултан - 1380 км, пенополистирол, 0, тент
38,Алматы → Арыс - 759 км, Стройматериалы, 0 , тент (бок)
39,Алматы → Астана - 1214 км, Паллеты, 0, любая (зад)
40,Турген → НурСултан - 1280 км, стройматериалы, 280000 , тент (зад)
41,Алматы → Астана - 1214 км, продукты, 240000 , рефр (зад) 
42,Алматы → Астана - 1214 км, стройматериалы, 250000 , тент (зад)
43,Алматы → Шымкент - 681 км, стройматериалы, 130000 , тент (бок+верх)
44,Алматы → НурСултан - 1214 км, стройматериалы, 220000 , крытая (зад)
45,Алматы → Шымкент - 681 км, сырье , 130000 , тент (бок)
46,Есик → Туркестан - 885 км, яблоки, 220000 , тент (зад)
47,Алматы → Жетысай - 917 км, продукты, 240000, крытая (зад)
48,Алматы → Шымкент - 681 км, продукты, 0, крытая (зад)
49,Алматы → Сарыагаш - 799 км, продукты, 0, крытая (зад)
50,Алматы → Тараз - 490 км, кабель на барабанах, 90000 , крытая (верх)
51,Алматы → Актау - 2865 км, Теп, 0, тент (зад)
52,Алматы → Тараз - 490 км, Кабель на барабанах, 0, любая (верх)
53,Талгар → Кокшетау, Кирпич на паллетах, 350000 , любая (бок+верх)
54,Алматы → Туркестан - 827 км, трава газонная на паллетах, 160000 , тент (бок)
55,Алматы → Астана - 1214 км,  погрузки  выгрузки, 330000 , тент (зад+бок+верх)
56,Алматы → НурСултан - 1214 км, Торговое оборудование , 280000 , любая (зад)
57,Талдыкорган → Шаян - 1023 км, Металл, 200000 , тент (верх)
58,Алматы → Бухара - 1383 км, Продукты, 0, любая (зад)
59,Алматы → Туркестан - 827 км, Продукты, 0, любая (зад)
60,Алматы → Пиджим - 314 км, стройматериалы, 0, тент (зад)
61,Алматы → Шымкент - 681 км, Корм, 0, крытая (зад)
62,Алматы → Актобе - 2184 км, Конверт (посылка)КПП от легков, 5000, любая
63,Алматы → Вильнюс - 4873 км, оборудование, 0, крытая (зад+бок)
64,Алматы → Бельфор - 6536 км, оборудование, 0, крытая (зад+бок)
65,Алматы → Париж - 6755 км, оборудование, 0, крытая (зблоки)
66,Алматы → Париж  - 6755 км, тнп, 0, тент(зад)
67,Алматы → Вильнюс - 4873 км, ТНП, 0, крытая (зад)
68,Алматы → Париж - 6755 км, ТНП, 0, крытая (зад)
69,Алматы → Вильнюс - 4873 км, оборудование, 0, тент
70,Алматы → Кокшетау - 1520 км, хозтовары , 300000 , тент (зад)
71,Алматы → Ташкент - 810 км, коробки, 30000 , любая (зад)
72,Алматы → выгр: Шымкент → Кызылорда, продукты, 230000 , крытая (зад)
73,Алматы → Шымкент - 681 км, Продукты , 125000 , крытая (зад)
74,Алматы → Талгар - 39 км, столбы , 0, манип (верх)
75,Алматы → Шымкент - 681 км, Продукты , 115000 , изот (зад)
76,Алматы → Уфа - 2596 км, овощи, 125000 , рефр (зад)
77,Алматы → Кокшетау - 1520 км, хозтовары, 310000 , крытая (зад)
78,Алматы → НурСултан - 1214 км, стройматериалы, 220000 , тент (зад)
79,Алматы → Жезказган - 1380 км, металл, 370000 , тент (бок)
80,Алматы → Шымкент - 681 км, профнастил в пачках, 150000 , тент (верх)
81,Алматы → Шымкент - 681 км, оборудование, 90000 , тент (зад)
82,Алматы → Шымкент - 681 км, картон пресованный, 110000 , тент (зад)
83,Алматы → Шымкент - 681 км, оборудование, 170000 , тент (бок+верх)
84,Алматы → Актау - 2865 км, мебель, 470000 , тент (зад)
85,Алматы → Кокшетау - 1520 км, хозтовары, 320000 , крытая (зад)
86,Алматы → НурСултан - 1214 км, стройматериалы, 270000 , тент (бок)
87,Алматы → Туркестан - 827 км, соки на паллетах, 160000 , тент (зад)
88,Алматы → Туркестан - 827 км, гофротара, 140000 , тент (бок)
89,Алматы → Актогай - 697 км, стройматериалы, 0, тент (зад+бок)
90,Алматы → Кокшетау - 1520 км, хозтовары в коробках, 300000 , крытая (зад)
91,Алматы → Шымкент - 681 км, медикаменты в коробках, 100000 , крытая
92,Алматы → Актау - 2865 км, Эмульсия, 0, крытая (зад)
93,Алматы → Кызылорда - 1116 км, продукты на паллетах, 0,  крытая (зад)
94,Алматы → НурСултан - 1214 км, Автомасла, 220000 , крытая (зад)
95,Алматы → Актау - 2865 км, краска водоэмульсионная, 0, крытая (зад)
96,Алматы → Кокшетау - 1520 км, Хозтовары , 280000 , крытая (зад)
97,Алматы → Астана - 1214 км, тнп, 160000 , тент (зад)
98,Алматы → Туркестан - 827 км, ТНП , 150000 , тент (зад)
99,Алматы → НурСултан - 1214 км, стройматериал, 240000 , тент (зад+бок)
100,Алматы → Орск - 2235 км, Капуста , 0, рефр (зад)
101,Алматы → Сарыагаш - 799 км, Сыре мешках, 160000 , рефр (зад) тон
102,Алматы → выгр: Шымкент → Кентау, Хоз тавар, 210000 , крытая (зад) 
103,Алматы → выгр: Шымкент → Жетысай, Хоз тавар, 220000 , крытая (зад) 
104,Алматы → Шымкент - 681 км, саженцы, 0, тент (бок+верх)
105,Алматы → Актау - 2865 км, продукты, 0, крытая (зад)
106,Алматы → Аягоз - 786 км, Теп, 0,  тент (зад)
107,Алматы → Караганда - 999 км, металл, 0, любая
108,Алматы → Кокшетау - 1520 км, продукты, 0, крытая (зад)
109,Алматы → Астана - 1214 км,  паллета, 35000 , рефр (верх)
110,Капшагай → Шымкент - 753 км, cтройматериалы, 130000 , тент (зад+бок)
111,Алматы → Семей - 1121 км, Стройматериалы, 0,  тент (зад+бок)
