Алматы → Шымкент, Радиатор, 45.000 тнг.  , крытая(зад)
Алматы → Атырау - 3023 км, мэлектротовары, 0, Атырау, рефр(зад)
Алматы → Омск - 1769 км, Перец в россыпью , 700.000 тнг.  , рефр(зад)
Шу → Новосибирск - 1866 км, Лук, 0, тент(зад)
Алматы → Уфа - 2596 км, Перец в россыпью , 800.000 тнг.  , рефр(зад)
Кордай → Уфа - 2648 км, Лук, 0, рефр(зад)
Шу → Магнитогорск - 2243 км, Лук, 0, тент(зад)
Алматы → Челябинск - 2249 км, Перец а каробках, 700.000 тнг.  , рефр(зад)
Алматы → Москва - 3958 км, Перец, 0, рефр(зад)
Алматы → Екатеринбург - 2351 км, Перец в россыпью , 800.000 тнг.  , рефр(зад)
Алматы → Дубай,  - 5332 км, хозтовары, 0, крытая (зад)
Алматы → Актау - 2865 км, кондитерка, 730.000 тнг.  , рефр. (зад)
Алматы → Шымкент - 681 км, Продукты, 120.000 тнг.  , тент (зад)
Алматы → Караганда - 999 км, Макароны, 220.000 тнг.  , тент(зад)
Алматы → Шымкент - 681 км, стройматериалы, 140.000 тнг.  , крытая (зад)
Алматы → Сарыагаш - 799 км, картонные каретки, 0, Сарыагаш,  крытая (зад)
Алматы → Астана - 1214 км, Арматура, 280.000 тнг.  , крытая (верх)
Алматы → Петропавловск - 1713 км, Металлаконструкция, 120.000 тнг.  , тент(зад)
Алматы → Шымкент - 681 км, Профильные трубы, 0, тент(верх)
Алматы → Нур-Султан - 1214 км, Арматура , 280.000 тнг.  , любая (верх)
Шу → Челябинск - 2094 км, Лук, 0  , любая (верх)
Жаркент → Москва - 4155 км, Мандарины , 0, рефр.(зад)
Алматы → Петропавловск - 1713 км, масло в бочках, 0, крытая (зад)
Талгар → догр.: Алматы → Актау, профиль пвх, 520.000 тнг.  , крытая (зад)
Алматы → Шымкент - 681 км, электротовары в коробках, 0, крытая (зад)
Алматы → Кокшетау - 1520 км, гофракартон на палетах, 70.000 тнг.  , любая (зад)
Алматы → Нур-Султан - 1214 км, кирпичи  на палетах, 220.000 тнг.  , крытая (бок)
Алматы → Нур-Султан - 1214 км, экскаватор, 500.000 тнг.  , трал
Шарбакты → Караганда - 970 км, яйца, 130.000 тнг.  , изот. (зад)
