nr,year,ag,black,bus,con,ent,exper,fin,hisp,hlth,hours,man,mar,min,nc,ne,occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8,occ9,per,pro,pub,rur,s,school,tra,trad,union,wage
13,1980,0,0,1,0,0,1,0,0,0,2672,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1.197540205
13,1981,0,0,0,0,0,2,0,0,0,2320,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,0,0,1,1.853059995
13,1982,0,0,1,0,0,3,0,0,0,2940,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1.344461678
13,1983,0,0,1,0,0,4,0,0,0,2960,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1.433213336
13,1984,0,0,0,0,0,5,0,0,0,3071,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14,0,0,0,1.56812508
13,1985,0,0,1,0,0,6,0,0,0,2864,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.699890942
13,1986,0,0,1,0,0,7,0,0,0,2994,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,-0.720262576
13,1987,0,0,1,0,0,8,0,0,0,2640,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.669187917
17,1980,0,0,0,0,0,4,0,0,0,2484,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.675962404
17,1981,0,0,0,0,0,5,0,0,0,2804,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.518398202
17,1982,0,0,0,0,0,6,0,0,0,2530,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.559190477
17,1983,0,0,0,0,0,7,0,0,0,2340,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.725410089
17,1984,0,0,0,0,0,8,0,0,0,2486,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.622022321
17,1985,0,0,0,1,0,9,0,0,0,2164,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,1.608588274
17,1986,0,0,0,1,0,10,0,0,0,2749,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,1.572385414
17,1987,0,0,0,1,0,11,0,0,0,2476,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,1.820333856
18,1980,0,0,0,0,0,4,0,0,0,2332,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1.515962749
18,1981,0,0,0,0,0,5,0,0,0,2116,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1.735379136
18,1982,0,0,0,0,0,6,0,0,0,2500,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1.63174367
18,1983,0,0,0,0,0,7,0,0,0,2474,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1.998228811
18,1984,0,0,0,0,0,8,0,0,0,2362,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.18401422
